Ancestor?,Scan date,Nr,Name,Temp Evo,Gender,Nickname,Level,possibleLevels,CP,HP,Dust cost,min IV%,ØIV%,max IV%,ØATT IV,ØDEF IV,ØHP IV,Unique?,Fast move,Fast move (ID),Special move,Special move (ID),Special move 2,Special move 2 (ID),DPS,LL Rank (min),LL Rank (max),GL Evo,GL Rank (min),GL Rank (max),Box,Custom1,Custom2,Saved,Egg,Lucky?,Favorite,BuddyBoosted,Form,ShadowForm,MultiForm?,Dynamax,Height (cm),Weight (g),Height Tag,Catch Date,Catch Level
0,9/18/26 22:27:37,682,Spritzee,-,♂,UL 25,9.0,9.0,291,78,1000,68.9,68.9,68.9,5.0,15.0,11.0,1, - , - , - , - , - , - ,0.0,1321,1321,Spritzee,730,730,Ultra League,,,0,0,0,0,0,2369,1,0, - ,19,400,0,2026-?-?,?
0,9/18/26 22:27:36,315,Roselia,-,♂,Ros♂76,3.0,3.0,133,31,400,75.6,75.6,75.6,10.0,13.0,11.0,1, - , - , - , - , - , - ,0.0,2616,2616,Roserade,1729,1729,Default,,,0,0,0,0,0,2119,1,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:35,23,Ekans,-,♀,Eka♀69,17.0,17.0,414,69,2200,68.9,68.9,68.9,10.0,6.0,15.0,1, - , - , - , - , - , - ,0.0,989,989,Ekans,741,741,Default,,,0,0,0,0,0,1020,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:34,183,Marill,-,♀,Mar♀76,13.0,13.0,148,90,1600,75.6,75.6,75.6,9.0,10.0,15.0,1, - , - , - , - , - , - ,0.0,845,845,Marill,845,845,Default,,,0,0,0,0,0,2058,1,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:33,270,Lotad,-,♂,UL 62,6.0,6.0,88,42,600,73.3,73.3,73.3,8.0,14.0,11.0,1, - , - , - , - , - , - ,0.0,1146,1146,Lotad,417,417,Ultra League,,,0,0,0,0,0,2093,1,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:32,69,Bellsprout,-,♂,Bel♂44,2.0,2.0,38,25,200,44.4,44.4,44.4,5.0,0.0,15.0,1, - , - , - , - , - , - ,0.0,2566,2566,Weepinbell,2241,2241,Default,,,0,0,0,0,0,1038,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:31,656,Froakie,-,♂,Fro♂76,15.0,15.0,400,68,1900,75.6,75.6,75.6,11.0,11.0,12.0,1, - , - , - , - , - , - ,0.0,1934,1934,Froakie,360,360,Default,,,0,0,0,0,0,2352,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:30,309,Electrike,-,♂,Ele♂80,20.0,20.0,521,80,2500,80.0,80.0,80.0,11.0,10.0,15.0,1, - , - , - , - , - , - ,0.0, - , - ,Electrike,244,244,Default,,,0,0,0,0,0,1558,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:29,650,Chespin,-,♂,GL 175,24.0,24.0,662,106,3500,60.0,60.0,60.0,3.0,9.0,15.0,1, - , - , - , - , - , - ,0.0, - , - ,Quilladin,175,175,Great League,,,0,0,0,0,0,2346,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:27,280,Ralts,-,♂,LL 115,18.0,18.0,243,64,2200,73.3,73.3,73.3,4.0,15.0,14.0,1, - , - , - , - , - , - ,0.0,115,115,Kirlia,332,332,Little League,,,0,0,0,0,0,687,7,0,?,?,?,0,2026-?-?,?
